#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00353	EUR	EUR	0.0000	0.0000	0.2185	0.0000	0.7815	-2.2608	8.5690	6.2718	9.4787	-6.9581	6.3998	-0.2817	2.4713	4.8970	-3.3185
HG00130	EUR	EUR	0.0000	0.0000	0.0099	0.0000	0.9901	1.2347	13.5786	4.7344	11.6126	-2.5417	2.1439	-1.2693	-1.0068	4.0551	-1.4593
NA18749	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.3501	-43.8082	1.7124	6.3168	-7.3567	-4.0646	2.5243	-1.5530	2.9286	-0.4136
HG02272	AMR	AMR	0.0000	0.0020	0.9980	0.0000	0.0000	-8.3574	-25.8724	25.6357	-41.4051	-1.2899	2.4751	2.9482	0.2740	5.7041	-3.2897
HG03052	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	62.4086	-16.7937	-1.4833	2.2104	-3.1082	-1.0705	0.5831	-1.9303	2.6570	0.1167
HG01991	AMR	AMR	0.0000	0.0022	0.9978	0.0000	0.0000	-4.9504	-16.4578	18.9757	-29.1848	-1.4164	-1.7825	3.7428	0.8035	0.4629	-1.4928
HG03832	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.5821	-12.2392	-17.0550	-2.9171	-0.0385	4.4176	2.9956	1.4511	4.0055	0.2677
NA20901	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.0056	-5.0342	-15.6299	-6.2439	-7.0350	0.0273	5.2610	0.8015	8.9485	-3.5339
HG04063	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.6836	-6.9737	-23.0152	-9.5120	-5.4470	5.0070	3.0863	-2.3281	9.1050	0.3260
HG03063	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.3270	-17.7242	0.2964	-0.4642	-3.7343	0.7231	2.4096	-1.0416	7.1008	-5.5329
HG03159	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	64.5809	-18.4216	-0.8508	1.5745	-1.8250	-0.7032	0.0002	0.5855	4.9757	0.6893
HG02694	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.0834	-0.5404	-11.9658	-2.5452	-2.3555	-2.9788	6.9294	-5.2399	6.5014	-2.0124
NA19019	AFR	AFR	0.0000	0.9994	0.0006	0.0000	0.0000	60.8838	-17.7553	-0.3118	1.7645	-1.1170	-1.5276	-0.3908	-4.1569	4.7237	-1.9621
NA20346	AFR	AFR	0.0000	0.9847	0.0153	0.0000	0.0000	51.8834	-13.0135	0.3190	3.5491	0.6308	3.9952	2.2793	0.6339	4.4346	2.5076
NA20881	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.8618	-1.4129	-16.0013	-1.9434	-4.7976	1.0281	0.2467	3.3029	3.1846	3.7355
HG02771	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	61.5765	-17.8521	-0.3306	1.6589	-4.1956	0.1097	-0.2216	3.4481	3.4213	-0.2566
NA21102	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.3075	-4.6239	-18.7760	-3.9429	-6.2218	-1.8115	-1.4205	0.9946	4.2273	-3.2238
HG03743	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.8560	-11.3284	-23.0635	-6.6692	-1.9055	-0.9995	0.6735	-3.1271	6.5445	4.1779
HG03867	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.1396	-10.9450	-21.3485	-5.1945	-1.1461	1.3293	0.6005	0.1481	7.3714	6.0333
HG02678	AFR	AFR	0.0000	0.9997	0.0003	0.0000	0.0000	60.3272	-17.1501	-0.7840	2.9742	-1.3589	-2.8343	2.3341	1.3957	2.5839	-2.5040
NA20510	EUR	EUR	0.0000	0.0000	0.0017	0.0000	0.9983	2.3863	12.3220	2.2670	9.0466	-5.7206	-3.4475	1.4811	-1.4187	11.1798	-3.4027
NA20872	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.3692	-1.3271	-13.5639	-2.3247	-3.7128	-4.0670	-0.3604	-1.2334	3.1666	2.3645
HG03376	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.7291	-17.3845	-0.6202	1.3140	-3.5845	0.3586	4.0364	-4.2600	3.3732	1.6460
HG03692	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.9486	-10.1425	-20.7640	-3.8947	-2.1032	-5.2444	0.0255	-3.9459	5.4353	-0.5622
NA19920	AFR	AFR	0.0000	0.9966	0.0034	0.0000	0.0000	57.0278	-14.4313	-1.2043	2.1715	-4.7180	-4.3839	3.7452	-2.1973	3.7907	-4.9396
NA19067	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.3200	-45.0415	3.1878	6.2000	-11.9578	-2.3821	1.5780	-3.1677	4.0470	-2.1516
HG02491	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.4534	-4.6324	-15.9742	-3.8897	-0.6082	-2.0621	8.6917	-5.3991	-1.8298	1.7202
HG03829	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.5402	-12.7422	-17.1054	-3.7704	0.1610	3.1612	1.0866	1.7437	3.9200	-3.4249
NA19197	AFR	AFR	0.0000	0.9989	0.0011	0.0000	0.0000	63.4465	-17.1549	0.2015	2.1754	-2.6989	-1.5235	2.9050	1.0132	6.8796	-0.5865
HG01488	AMR	AMR	0.0000	0.0064	0.9935	0.0000	0.0001	9.4014	2.9494	6.2147	1.5779	-1.8406	-2.5901	3.8348	-1.0388	0.9953	-1.1912
HG01256	AMR	AMR	0.0000	0.0000	0.8710	0.0000	0.1290	0.4267	5.8174	9.2103	2.1085	-2.5345	-5.5015	3.5681	1.1957	2.9973	-1.6180
HG02259	AMR	AMR	0.0000	0.0029	0.9971	0.0000	0.0000	-8.9151	-26.2005	23.4181	-38.3862	-2.6035	1.2565	-0.8613	-3.4551	5.4086	-4.7543
HG01066	AMR	AMR	0.0000	0.0135	0.9865	0.0000	0.0001	3.7977	5.5259	9.0117	1.2677	-2.9319	-3.8189	3.8204	1.9730	0.7530	1.0786
HG03108	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.0188	-17.6305	0.2915	1.5748	-4.6662	-0.6264	2.2228	-2.0273	7.1865	2.0541
HG02166	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.3102	-44.0587	1.3287	9.5196	3.5660	-0.8030	3.0044	1.7732	8.0535	-3.2883
HG01849	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.6409	-42.8308	-1.0121	7.0427	3.2402	1.2119	2.2579	-0.3325	5.2754	-2.2182
NA20796	EUR	EUR	0.0000	0.0000	0.0022	0.0000	0.9978	1.9126	13.4895	4.3687	8.0325	-4.7795	-7.3423	3.7307	-1.6653	7.0127	-4.5672
HG04020	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	2.0619	-6.9226	-17.7818	-4.6257	0.3051	1.2371	-4.6113	-0.6711	1.7177	-10.3397
HG03826	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.0515	-10.0569	-17.1402	-4.9585	-3.6194	-2.4591	-1.3103	3.2824	4.7025	0.5874
NA20905	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.2318	-5.3245	-16.7660	-4.2788	-3.4976	-2.9388	3.1218	-3.3247	2.7638	-1.2483
NA21120	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	3.2522	-6.9486	-18.4191	-4.3701	-2.0972	1.0186	3.4953	-2.5931	3.8414	-1.5973
HG00236	EUR	EUR	0.0000	0.0000	0.0111	0.0000	0.9889	1.3277	12.3882	5.2590	9.4067	-0.3915	-2.4465	4.7842	1.6261	-2.4571	-0.8992
HG01366	AMR	AMR	0.0000	0.0063	0.9937	0.0000	0.0000	4.9463	-1.0388	10.7994	-1.7365	-1.9163	-2.3327	0.4012	-1.3117	1.1102	2.8527
HG00285	EUR	EUR	0.0000	0.0000	0.0045	0.0000	0.9955	-1.2572	7.9491	3.4248	6.6942	-9.5365	7.3478	-0.9528	-0.0203	5.4004	-0.2508
