#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG03369	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.4325	-16.4598	-1.6094	1.9482	-1.6656	1.6520	-3.3769	2.8640	-3.0005	-0.2847
NA18501	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-61.7963	-17.1824	-0.2586	2.3159	-3.2674	-0.3528	-2.1758	2.3058	-2.1437	-4.5875
HG00626	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.9062	-45.8879	1.6119	7.7180	-1.0918	-2.1772	-2.4037	-0.5358	-8.8595	-5.5222
NA18644	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	7.1657	-43.6523	2.6621	7.8370	0.7575	-2.0255	-4.8986	1.4012	-5.6534	-2.5266
HG04075	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	-0.7107	-7.8458	-19.3145	-3.8939	-1.5633	-2.3237	-3.4390	0.4356	-0.7775	-6.7457
HG02143	AFR	AFR	0.0000	0.9998	0.0002	0.0000	0.0000	-50.5694	-11.4721	0.3218	0.9850	-1.7820	-3.3819	-2.2953	-2.4035	-4.7301	-2.7982
NA18535	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	9.3324	-44.4483	2.7878	9.0175	2.1361	0.5480	-2.2289	1.1577	-2.0694	-1.0441
HG03175	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	-62.7792	-17.3520	0.7075	1.8594	-3.9087	-1.1772	-1.8826	5.3826	-1.3680	-5.1408
NA20348	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	-52.6687	-13.6772	0.6716	2.5200	-1.4079	-2.1207	-1.9995	1.7349	-2.7683	-2.3295
NA20544	EUR	EUR	0.0000	0.0000	0.0006	0.0000	0.9994	-1.1970	12.2886	3.8084	10.1886	0.1325	-3.1225	-2.2128	1.0286	-1.0598	0.2101
