#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00419	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.7379	45.2722	-2.2820	6.4719	-1.6864	-4.0423	-5.5694	1.3965	2.0879	2.0629
HG03117	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	62.9624	15.8373	0.0362	2.1560	-0.1552	-2.4405	-3.7515	4.2090	1.9330	-2.2709
NA19375	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	58.2087	16.2189	1.6212	2.4870	-0.2806	2.9094	3.0918	-1.5249	-2.6326	2.2053
HG00736	AMR	AMR	0.0000	0.0000	0.9956	0.0000	0.0044	3.4110	-8.1132	-5.3714	4.6056	-1.6518	-3.7272	-0.7903	6.3613	0.5116	-0.9089
HG02139	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-8.9653	43.0703	-0.9429	6.9906	-6.0979	6.5646	-1.5694	3.1268	2.1331	-1.1790
HG01182	AMR	AMR	0.0000	0.0004	0.8884	0.0000	0.1111	8.1779	-3.6982	-7.0797	0.3031	-2.8851	2.2532	-0.6348	0.9309	-3.6353	-1.4263
NA11843	EUR	EUR	0.0000	0.0000	0.0145	0.0000	0.9855	0.1287	-13.5106	-4.6979	9.2903	1.2343	-0.9900	-2.7171	0.2146	-1.6346	-1.9275
NA20858	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	1.9473	1.3213	10.9812	-1.5083	-0.7888	2.3985	-3.6545	1.7691	2.6907	1.9041
HG01489	AMR	AMR	0.0000	0.0001	0.9978	0.0001	0.0020	1.9409	-4.9538	-5.8635	2.9517	-1.4018	0.8962	-1.5093	1.6402	-2.4358	1.3152
HG01889	AFR	AFR	0.0000	0.9993	0.0007	0.0000	0.0000	59.6310	16.1915	0.2304	2.0495	1.4546	-1.6499	1.1102	2.3387	-0.7494	-1.4787
HG00717	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.1399	44.7907	-2.2372	7.3529	-2.1233	1.0174	-2.7225	3.1288	1.7268	-0.9275
HG00956	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.2730	43.8596	-1.7004	7.8059	-1.7543	6.5027	-4.3371	-0.6823	0.4395	-0.8041
HG02250	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.3737	43.9155	-2.9452	7.3764	-4.8800	2.8628	-2.7540	2.6399	-0.8697	-2.5919
NA19834	AFR	AFR	0.0000	0.9897	0.0103	0.0000	0.0000	47.9613	9.0565	-2.6329	3.8112	1.0076	-1.0498	-2.5817	0.7503	0.6245	-1.4782
HG02549	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	61.7581	16.4915	0.4910	0.9623	-1.1258	-0.4453	-1.1091	0.5873	1.4166	-1.3490
NA18941	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.6472	42.9995	-2.7754	5.8432	6.9344	-3.0873	-3.0627	0.0023	-3.6625	2.1186
HG03258	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	61.7919	17.3109	0.9379	2.6945	0.0528	-2.9746	-3.5487	0.6854	1.2480	-0.6380
