#sample_id	predicted_ancestry	given_ancestry	CHB_prob	KHV_prob	CHS_prob	ASW_prob	CDX_prob	YRI_prob	GWD_prob	MXL_prob	ITU_prob	CEU_prob	IBS_prob	GIH_prob	ACB_prob	CLM_prob	LWK_prob	PUR_prob	BEB_prob	FIN_prob	PEL_prob	MSL_prob	ESN_prob	TSI_prob	PJL_prob	GBR_prob	STU_prob	JPT_prob	PC1	PC2	PC3	PC4	PC5
NA18878	ESN	YRI	0.0000	0.0000	0.0000	0.0433	0.0000	0.1497	0.1560	0.0000	0.0000	0.0000	0.0000	0.0000	0.1608	0.0000	0.1665	0.0000	0.0000	0.0000	0.0000	0.1165	0.2072	0.0000	0.0000	0.0000	0.0000	0.0000	-63.1045	16.5391	-0.6460	-1.5846	-1.1209
NA19030	GWD	LWK	0.0000	0.0000	0.0000	0.0586	0.0000	0.0825	0.2904	0.0000	0.0000	0.0000	0.0000	0.0000	0.1806	0.0000	0.1733	0.0002	0.0000	0.0000	0.0000	0.1022	0.1121	0.0000	0.0000	0.0000	0.0000	0.0000	-58.5206	16.6126	0.3456	-2.7309	-2.2794
HG01625	FIN	IBS	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.1953	0.2109	0.0000	0.0000	0.0023	0.0000	0.0065	0.0000	0.2545	0.0000	0.0000	0.0000	0.1249	0.0000	0.2056	0.0000	0.0000	-0.8866	-11.1001	-3.7293	-9.6616	-0.6315
HG03778	STU	ITU	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1856	0.0000	0.0000	0.1984	0.0000	0.0000	0.0000	0.0000	0.1490	0.0000	0.0000	0.0000	0.0000	0.0000	0.1279	0.0000	0.3390	0.0000	-0.1563	10.4500	20.7495	5.0408	-3.5584
HG01872	KHV	KHV	0.0749	0.4543	0.1493	0.0000	0.3207	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	7.1151	43.3241	-1.1372	-7.1431	-1.4704
HG00171	FIN	FIN	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.1516	0.1396	0.0000	0.0000	0.0021	0.0000	0.0024	0.0000	0.4727	0.0000	0.0000	0.0000	0.0942	0.0000	0.1373	0.0000	0.0000	2.1726	-8.3821	-7.2361	-8.1322	-4.0870
HG03615	STU	BEB	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1423	0.0000	0.0000	0.1927	0.0000	0.0000	0.0000	0.0000	0.2144	0.0000	0.0000	0.0000	0.0000	0.0000	0.2107	0.0000	0.2399	0.0000	-0.8033	10.8776	17.6477	2.7651	-0.6819
HG01111	PUR	PUR	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0328	0.0000	0.0000	0.0000	0.0000	0.0000	0.3344	0.0000	0.6296	0.0000	0.0014	0.0014	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-5.4482	-2.8870	-6.5745	-1.8774	1.1311
HG02629	ACB	GWD	0.0000	0.0000	0.0000	0.0668	0.0000	0.1271	0.1296	0.0000	0.0000	0.0000	0.0000	0.0000	0.2141	0.0000	0.1921	0.0000	0.0000	0.0000	0.0000	0.0941	0.1761	0.0000	0.0000	0.0000	0.0000	0.0000	-62.2709	16.7993	0.5292	-2.4601	-1.5343
HG01682	IBS	IBS	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2221	0.3048	0.0000	0.0000	0.0003	0.0000	0.0004	0.0000	0.1008	0.0000	0.0000	0.0000	0.1316	0.0000	0.2401	0.0000	0.0000	-1.5630	-14.7038	-6.0364	-10.3490	-0.0272
HG01259	PUR	CLM	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0180	0.0000	0.0651	0.1344	0.0000	0.0001	0.1307	0.0000	0.3672	0.0000	0.1424	0.0000	0.0000	0.0000	0.0887	0.0000	0.0534	0.0000	0.0000	-1.5810	-5.1539	-7.5468	-2.6315	1.1090
HG03684	STU	STU	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1970	0.0000	0.0000	0.0424	0.0000	0.0000	0.0000	0.0000	0.3100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0237	0.0000	0.4269	0.0000	-1.6658	12.1452	21.7307	5.6563	-1.2490
HG01070	FIN	PUR	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0036	0.0000	0.1297	0.1840	0.0000	0.0000	0.0380	0.0000	0.1578	0.0000	0.2737	0.0000	0.0000	0.0000	0.0908	0.0000	0.1224	0.0000	0.0000	-4.0834	-3.9584	-7.7585	-1.0268	0.0720
